probIn scale
0.5874301 8.238828e-05
0.5945923 8.286995e-05
0.6104951 8.115459e-05
0.6149228 8.098662e-05
0.6173228 8.153361e-05
0.6172575 8.278502e-05
0.6359047 8.385635e-05
0.6212788 8.591953e-05
0.6212514 8.767106e-05
0.6273849 8.672373e-05
0.6169741 8.52284e-05
0.6183336 8.657878e-05
0.623433 8.569031e-05
0.6178336 8.440057e-05
0.6092045 8.296368e-05
0.6089192 8.341251e-05
0.6187618 8.509169e-05
0.5981893 8.575578e-05
0.5913542 8.503223e-05
0.6188075 8.428229e-05
0.6175119 8.567963e-05
0.6082637 8.555313e-05
0.5960772 8.601853e-05
0.5820262 8.49686e-05
0.577391 8.4669e-05
0.5661683 8.433982e-05
0.5621697 8.550682e-05
0.5431061 8.480845e-05
0.5608151 8.716852e-05
0.5644104 8.806055e-05
0.549176 8.851352e-05
0.5569159 8.768043e-05
0.5599912 8.756532e-05
0.5552228 8.871433e-05
0.5520812 8.66013e-05
0.5488236 8.684564e-05
0.565823 8.640797e-05
0.568227 8.508715e-05
0.5810946 8.498736e-05
0.581502 8.37759e-05
0.5701275 8.482643e-05
0.5701565 8.426363e-05
0.5883691 8.657945e-05
0.5942361 8.585308e-05
0.6108118 8.317924e-05
0.5974033 8.403256e-05
0.5752041 8.370289e-05
0.5717884 8.272827e-05
0.5750023 8.383786e-05
0.5792956 8.301778e-05
0.5939292 8.340867e-05
0.6053907 8.249664e-05
0.5924791 8.184102e-05
0.5844274 8.033271e-05
0.5877714 8.018586e-05
0.5817422 8.075885e-05
0.5760115 8.078576e-05
0.5698698 8.090095e-05
0.5779713 8.028815e-05
0.5874465 8.032536e-05
0.5692317 7.952898e-05
0.577312 8.006692e-05
0.5760053 8.137097e-05
0.5749228 7.882097e-05
0.599963 7.871464e-05
0.6114648 7.709829e-05
0.6093044 7.792223e-05
0.6099149 8.030578e-05
0.6064378 8.041936e-05
0.616759 8.160244e-05
0.6206276 8.270229e-05
0.6160565 8.453108e-05
0.6169508 8.713404e-05
0.6280506 8.765434e-05
0.6394415 8.611743e-05
0.6201491 8.554287e-05
0.6239497 8.469107e-05
0.6270326 8.219806e-05
0.6335552 8.057967e-05
0.644906 8.14271e-05
0.645535 8.232239e-05
0.6490823 8.128495e-05
0.644518 8.062391e-05
0.6268787 8.181376e-05
0.6335468 8.15369e-05
0.6139841 8.172239e-05
0.6342024 8.246524e-05
0.6141391 8.013935e-05
0.6237983 8.21616e-05
0.6212051 8.064245e-05
0.623981 8.062674e-05
0.6088164 7.908614e-05
0.6010894 7.959012e-05
0.6126154 8.081862e-05
0.6097707 8.16752e-05
0.5984526 8.287735e-05
0.5930645 8.203843e-05
0.5839507 8.292372e-05
0.5849622 8.353917e-05
0.5743904 8.358963e-05
0.5632201 8.551057e-05
0.5619668 8.56351e-05
0.5705735 8.437961e-05
0.565354 8.518499e-05
0.565517 8.539155e-05
0.5785264 8.507282e-05
0.576715 8.757515e-05
0.5673876 8.684122e-05
0.5681507 8.536784e-05
0.5766997 8.476653e-05
0.5711202 8.552642e-05
0.5720177 8.441265e-05
0.5874942 8.483471e-05
0.5860547 8.327966e-05
0.6019887 8.425043e-05
0.6032264 8.337838e-05
0.5935021 8.215844e-05
0.5872648 8.233935e-05
0.5985248 8.36061e-05
0.5803308 8.333449e-05
0.5856414 8.424635e-05
0.5765783 8.38092e-05
0.5656535 8.404462e-05
0.5596265 8.502875e-05
0.5539214 8.486044e-05
0.5434297 8.36042e-05
0.5507104 8.503747e-05
0.5417593 8.354021e-05
0.5443843 8.378467e-05
0.5338016 8.383715e-05
0.5149291 8.570081e-05
0.5220269 8.730669e-05
0.5152449 8.891175e-05
0.5112781 8.632797e-05
0.5217186 8.743392e-05
0.5015165 8.707319e-05
0.4954584 8.587549e-05
0.4940778 8.634616e-05
0.4869223 8.48449e-05
0.4863239 8.400919e-05
0.4617308 8.299835e-05
0.4483915 8.331296e-05
0.4465901 8.287971e-05
0.4564327 8.225901e-05
0.4598057 8.004226e-05
0.4720254 7.883955e-05
0.4607886 7.886692e-05
0.4695281 7.788375e-05
0.4780368 7.834302e-05
0.4882868 7.772524e-05
0.5086777 7.689519e-05
0.5124228 7.751867e-05
0.5309383 7.690138e-05
0.5309249 7.826709e-05
0.5541237 7.817607e-05
0.550389 7.747887e-05
0.5428658 7.639255e-05
0.5369704 7.694021e-05
0.518672 7.723486e-05
0.5142364 7.836277e-05
0.5222517 7.847542e-05
0.5185476 7.940808e-05
0.5046822 7.883066e-05
0.5014672 7.851493e-05
0.5243238 7.955605e-05
0.5255987 7.897432e-05
0.5092906 7.923928e-05
0.5247308 7.836206e-05
0.5134219 7.911567e-05
0.5131444 7.811067e-05
0.519527 7.883895e-05
0.5199482 7.920253e-05
0.5324031 7.977864e-05
0.5294387 7.898232e-05
0.5422725 7.965088e-05
0.534251 7.936435e-05
0.5276249 7.90852e-05
0.5276414 7.677892e-05
0.5326372 7.807939e-05
0.5385822 7.933452e-05
0.5139426 7.961557e-05
0.4899482 7.92737e-05
0.499211 7.776137e-05
0.5107785 8.017465e-05
0.4984888 8.160356e-05
0.5180774 8.035935e-05
0.5341483 8.04301e-05
0.5414542 7.974778e-05
0.562395 7.796943e-05
0.5587341 7.59134e-05
0.5421245 7.580133e-05
0.5282707 7.44004e-05
0.5230862 7.350612e-05
0.5097452 7.468103e-05
0.5164823 7.361694e-05
0.5220985 7.547335e-05
0.5209718 7.538366e-05
0.5296449 7.675266e-05
0.5418574 7.725554e-05
0.5517471 7.896691e-05
0.5535905 7.780089e-05
0.5530003 7.755444e-05
0.533723 7.719725e-05
0.5442199 7.753804e-05
0.5652911 7.825568e-05
0.5590038 7.817985e-05
0.5486588 7.928889e-05
0.5402652 7.756913e-05
0.5348796 7.714443e-05
0.5443124 7.559463e-05
0.5419268 7.589872e-05
0.5654074 7.532219e-05
0.5574542 7.620108e-05
0.5621604 7.837816e-05
0.5753937 7.670176e-05
0.5818926 7.701091e-05
0.5923568 7.756681e-05
0.5829563 7.861481e-05
0.5687633 7.896783e-05
