probIn scale
0.5764298 0.000234526
0.5258895 0.0002427798
0.5366458 0.0002465344
0.5603096 0.0002532227
0.5622226 0.0002544633
0.5796853 0.0002624716
0.5848489 0.0002579076
0.5707745 0.0002562938
0.5836232 0.0002511611
0.5553541 0.0002457657
0.5137185 0.0002656601
0.4938787 0.0002607377
0.4851069 0.0002597138
0.4619198 0.0002626995
0.4992898 0.0002602726
0.4765955 0.0002554487
0.4642601 0.000256312
0.478374 0.0002593644
0.4595888 0.0002632238
0.4464188 0.0002633049
0.4368621 0.0002501591
0.4547042 0.0002580138
0.4622528 0.0002748111
0.4826438 0.0002841403
0.4804288 0.0002904702
0.4963641 0.0002810262
0.5186555 0.0002740361
0.5089506 0.0002822489
0.5265322 0.0002816021
0.5287355 0.0002959435
0.552685 0.000280234
0.5400755 0.0002762316
0.5746172 0.0002742335
0.5685197 0.0002912252
0.5933431 0.0002871592
0.6035923 0.0002869633
0.6215239 0.0002706201
0.6187636 0.0002638874
0.6283162 0.00026332
0.6334225 0.0002666619
0.6174234 0.0002604833
0.6226003 0.0002607149
0.6507975 0.0002547013
0.6538644 0.0002601344
0.611373 0.0002493114
0.6437026 0.0002458412
0.6220858 0.0002373546
0.5887861 0.0002438023
0.5633946 0.0002530138
0.5200647 0.0002555442
0.5448312 0.000251009
0.5371179 0.0002558469
0.5682377 0.0002598793
0.5865703 0.0002753386
0.543947 0.0002718894
0.5455105 0.0002715896
0.5261003 0.0002543177
0.5499421 0.0002595999
0.5610851 0.000256443
0.5379508 0.000259224
0.4873231 0.0002609818
0.4951733 0.000254594
0.4861518 0.0002424899
0.5210525 0.0002425267
0.5299703 0.0002385454
0.5393186 0.0002294453
0.5435314 0.0002246064
0.5444371 0.000238172
0.5733722 0.0002217594
0.585751 0.0002227016
0.5818841 0.0002347811
0.5537531 0.0002422947
0.5536782 0.0002417502
0.5815963 0.0002417418
0.6045417 0.0002368913
0.5934565 0.0002537039
0.5840686 0.000240042
0.5764671 0.0002413314
0.566018 0.0002399507
0.5681743 0.0002258531
0.5556934 0.0002295787
0.5713595 0.0002228191
0.5793154 0.0002248794
0.5703842 0.0002233182
0.5936495 0.0002200708
0.5766069 0.0002228403
0.5988868 0.0002179799
